Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  01-Jan-2014 00:00:00	51.05848	-4.27679	0	4.840	9999.000	16.7	10.0	284	  9	9.3
  01-Jan-2014 00:30:00	51.05848	-4.27679	0	4.670	7.240	14.3	9.5	281	 14	9.5
  01-Jan-2014 01:00:00	51.05848	-4.27679	0	4.520	6.750	14.3	9.5	280	 14	9.7
  01-Jan-2014 01:30:00	51.05837	-4.27649	0	4.200	6.430	15.4	8.9	283	 17	9.7
  01-Jan-2014 02:00:00	51.05837	-4.27660	0	3.450	5.000	15.4	8.0	288	 17	9.7
  01-Jan-2014 02:30:00	51.05840	-4.27664	0	3.360	4.910	14.3	8.2	283	 16	9.8
  01-Jan-2014 03:00:00	51.05839	-4.27664	0	3.080	4.780	15.4	8.0	290	 18	9.8
  01-Jan-2014 03:30:00	51.05851	-4.27673	0	2.940	4.090	16.7	8.2	281	 15	9.8
  01-Jan-2014 04:00:00	51.05846	-4.27673	0	2.930	3.910	16.7	8.3	286	 18	9.8
  01-Jan-2014 04:30:00	51.05841	-4.27664	0	2.750	4.010	16.7	8.3	284	 15	9.8
  01-Jan-2014 05:00:00	51.05837	-4.27666	0	2.800	4.440	15.4	9.1	283	 15	9.8
  01-Jan-2014 05:30:00	51.05840	-4.27669	0	2.530	3.820	15.4	8.9	283	 15	9.8
  01-Jan-2014 06:00:00	51.05850	-4.27688	0	2.640	4.340	16.7	9.1	287	 23	9.8
  01-Jan-2014 06:30:00	51.05852	-4.27733	0	2.660	4.080	18.2	8.9	288	 16	9.8
  01-Jan-2014 07:00:00	51.05813	-4.27763	0	2.270	3.300	18.2	8.5	288	 17	9.6
  01-Jan-2014 07:30:00	51.05794	-4.27769	0	2.160	3.110	15.4	8.3	290	 18	9.6
  01-Jan-2014 08:00:00	51.05809	-4.27776	0	2.190	3.190	16.7	8.2	297	 18	9.6
  01-Jan-2014 08:30:00	51.05795	-4.27784	0	2.150	3.900	14.3	6.5	286	 22	9.5
  01-Jan-2014 09:00:00	51.05783	-4.27776	0	2.230	3.490	15.4	6.9	295	 19	9.5
  01-Jan-2014 09:30:00	51.05781	-4.27772	0	2.520	3.910	18.2	7.8	291	 21	9.6
  01-Jan-2014 10:00:00	51.05788	-4.27774	2	2.620	3.930	14.3	7.7	278	 17	9.6
  01-Jan-2014 10:30:00	51.05795	-4.27776	0	2.730	3.820	18.2	8.9	284	 13	9.7
  01-Jan-2014 11:00:00	51.05796	-4.27767	0	2.930	4.280	16.7	8.9	286	 12	9.7
  01-Jan-2014 11:30:00	51.05794	-4.27754	0	3.080	5.680	18.2	8.3	287	 15	9.8
  01-Jan-2014 12:00:00	51.05821	-4.27686	2	3.340	5.510	11.8	8.0	274	  8	9.8
  01-Jan-2014 12:30:00	51.05808	-4.27645	0	3.680	9999.000	16.7	8.5	286	 16	9.8
  01-Jan-2014 13:00:00	51.05817	-4.27645	0	3.480	5.200	16.7	8.3	283	 21	9.7
  01-Jan-2014 13:30:00	51.05816	-4.27645	0	3.430	5.370	14.3	8.2	280	 18	9.8
  01-Jan-2014 14:00:00	51.05832	-4.27651	0	3.240	9999.000	12.5	7.8	276	 14	9.8
  01-Jan-2014 14:30:00	51.05836	-4.27656	0	2.780	3.810	14.3	7.4	287	 18	9.8
  01-Jan-2014 15:00:00	51.05852	-4.27658	0	2.620	4.130	16.7	7.4	288	 19	9.8
  01-Jan-2014 15:30:00	51.05842	-4.27660	0	2.600	3.660	16.7	6.8	291	 21	9.8
  01-Jan-2014 16:00:00	51.05841	-4.27662	0	2.350	4.010	13.3	6.2	287	 19	9.8
  01-Jan-2014 16:30:00	51.05840	-4.27656	0	2.590	3.700	15.4	6.2	283	 21	9.9
  01-Jan-2014 17:00:00	51.05841	-4.27666	0	2.490	3.500	14.3	6.2	288	 26	9.8
  01-Jan-2014 17:30:00	51.05839	-4.27660	0	2.430	3.400	14.3	6.6	283	 20	9.9
  01-Jan-2014 18:00:00	51.05843	-4.27656	0	2.610	3.960	14.3	7.0	284	 23	9.9
  01-Jan-2014 18:30:00	51.05834	-4.27662	0	2.690	3.410	15.4	7.1	287	 17	9.9
  01-Jan-2014 19:00:00	51.05840	-4.27675	0	2.580	3.710	15.4	7.1	291	 14	9.9
  01-Jan-2014 19:30:00	51.05842	-4.27701	0	2.430	3.790	15.4	7.1	293	 18	9.9
  01-Jan-2014 20:00:00	51.05823	-4.27739	0	2.580	3.830	14.3	7.5	293	 12	9.8
  01-Jan-2014 20:30:00	51.05801	-4.27754	0	2.400	3.620	14.3	7.5	288	 12	9.8
  01-Jan-2014 21:00:00	51.05783	-4.27765	0	2.450	4.240	12.5	7.5	287	 11	9.8
  01-Jan-2014 21:30:00	51.05776	-4.27759	0	2.540	3.210	13.3	8.3	288	 11	9.7
  01-Jan-2014 22:00:00	51.05781	-4.27774	0	2.590	3.310	12.5	8.7	283	  8	9.7
  01-Jan-2014 22:30:00	51.05780	-4.27767	0	2.220	4.100	11.8	7.5	286	  7	9.7
  01-Jan-2014 23:00:00	51.05783	-4.27763	0	2.580	4.360	13.3	8.3	286	 10	9.7
  01-Jan-2014 23:30:00	51.05769	-4.27696	0	2.750	4.780	14.3	8.3	287	  9	9.7
  02-Jan-2014 00:00:00	51.05766	-4.27679	0	2.980	4.520	14.3	8.2	287	 11	9.7
  02-Jan-2014 00:30:00	51.05774	-4.27658	0	2.900	5.060	11.8	7.5	281	 11	9.7
  02-Jan-2014 01:00:00	51.05796	-4.27647	0	3.280	4.660	12.5	8.0	280	  9	9.8
  02-Jan-2014 01:30:00	51.05808	-4.27634	0	3.200	4.340	12.5	7.4	280	 10	9.8
  02-Jan-2014 02:00:00	51.05820	-4.27639	0	2.930	4.330	12.5	7.1	283	 12	9.8
  02-Jan-2014 02:30:00	51.05825	-4.27645	0	3.030	4.680	12.5	7.1	281	 16	9.8
  02-Jan-2014 03:00:00	51.05835	-4.27651	0	2.690	3.970	13.3	6.6	281	 18	9.8
  02-Jan-2014 03:30:00	51.05836	-4.27654	0	2.350	3.290	13.3	6.0	283	 17	9.9
  02-Jan-2014 04:00:00	51.05835	-4.27649	0	2.100	3.120	11.1	5.3	278	 18	10.0
  02-Jan-2014 04:30:00	51.05836	-4.27651	0	2.020	3.020	13.3	5.3	277	 20	10.0
  02-Jan-2014 05:00:00	51.05832	-4.27649	0	1.940	2.740	14.3	5.3	281	 23	10.0
  02-Jan-2014 05:30:00	51.05833	-4.27649	0	1.890	3.040	12.5	5.3	286	 18	9.9
  02-Jan-2014 06:00:00	51.05838	-4.27645	0	1.780	2.760	13.3	5.6	281	 24	9.9
  02-Jan-2014 06:30:00	51.05832	-4.27651	0	1.830	2.720	12.5	5.5	281	 28	9.9
  02-Jan-2014 07:00:00	51.05822	-4.27654	0	1.990	2.570	14.3	5.7	288	 23	9.9
  02-Jan-2014 07:30:00	51.05832	-4.27647	0	1.880	2.730	13.3	5.8	284	 21	9.9
  02-Jan-2014 08:00:00	51.05791	-4.27690	0	2.000	3.080	13.3	6.3	286	 12	9.9
  02-Jan-2014 08:30:00	51.05767	-4.27739	0	2.040	9999.000	13.3	6.8	287	 12	9.9
